問,科目,解答,正誤,回答,理由
問55,薬剤,"[(1,)]",○,[1],能動的ターゲティングは、薬物やそのキャリア（リポソームなど）を特定の細胞や組織に選択的に送達する技術である。レクチンは、特定の糖鎖構造を認識して結合するタンパク質の総称であり、細胞表面にも様々なレクチンが存在する。したがって、薬物やキャリアに特定の糖鎖を修飾基として導入することで、標的細胞上のレクチンに認識させて結合させ、選択的な取り込み（ターゲティング）を達成することができる。ポリペプチド、長鎖不飽和脂肪酸、オリゴヌクレオチド、ポリエチレングリコールも修飾に用いられることがあるが、レクチンによる認識機構を利用する場合は糖鎖がリガンドとなる。したがって、選択肢1が正しい。
問56,病態,"[(2,)]",○,[2],ドキソルビシンは、アントラサイクリン系の抗悪性腫瘍薬であり、強力な抗がん作用を持つ一方で、用量依存的な心毒性が重大な副作用として知られている。ドキソルビシンは心筋細胞に蓄積し、フリーラジカル産生やミトコンドリア機能障害などを介して心筋細胞の壊死を引き起こし、心筋症やうっ血性心不全を誘発する可能性がある。アミオダロン、エナラプリル、ビソプロロールは心不全治療にも用いられる薬物（副作用に注意は必要）。ピオグリタゾンは糖尿病治療薬で、副作用として心不全のリスクがあるが、直接的な心筋壊死が主たる機序ではない。したがって、選択肢2が正しい。
問57,病態,"[(2,)]",○,[2],デキストラン硫酸を固定化したカラムを用いたアフェレシス（LDL吸着療法など）では、血液が体外循環中にデキストラン硫酸と接触する。デキストラン硫酸は負に荷電しており、血液凝固系のカリクレイン-キニン系を活性化し、ブラジキニンの産生を促進する可能性がある。一方、ACE（アンジオテンシン変換酵素）阻害薬（例：エナラプリルマレイン酸塩）は、ブラジキニンの分解を抑制する作用を持つ。そのため、デキストラン硫酸を用いたアフェレシス施行中にACE阻害薬を投与すると、血中のブラジキニン濃度が急激に上昇し、アナフィラキシー様症状（血圧低下、ショックなど）を引き起こす危険性が高いため、投与は禁忌とされている。したがって、選択肢2が正しい。
問58,病態,"[(4,)]",○,[4],WPW (Wolff-Parkinson-White) 症候群は、心房と心室の間に正常な房室結節（刺激伝導を遅らせる）を迂回する副伝導路（ケント束）が存在する先天性の疾患である。この副伝導路を通って心房からの興奮が心室へ早期に伝わるため、心室の早期興奮が生じる。心電図上では、PQ時間の短縮とデルタ波（QRS波の立ち上がりのなまり）が特徴的である。Adams-Stokes症候群は徐脈性不整脈による失神、Brugada症候群やQT延長症候群は致死性不整脈のリスク、洞不全症候群は洞結節の機能不全である。したがって、選択肢4が正しい。
問59,病態,"[(1,)]",○,[1],急性心筋梗塞(AMI)は、冠動脈の閉塞により心筋への血流が途絶え、心筋が壊死する疾患である。多くの場合、冠動脈内のアテローム硬化プラークの破綻とそれに伴う血栓形成が原因となる。AMIの初期治療では、心筋壊死の範囲を最小限に抑えるために、可及的速やかに冠動脈の再灌流（血流再開）を図るとともに、血栓の拡大や再閉塞を予防することが重要である。アスピリンは、血小板のシクロオキシゲナーゼを阻害してトロンボキサンA₂の産生を抑制し、血小板凝集を抑制する抗血小板薬であり、AMIの初期治療において不可欠な薬剤の一つである。したがって、選択肢1が正しい。
問60,病態,"[(5,)]",×,[3],重症筋無力症(MG)は、神経筋接合部におけるアセチルコリン受容体に対する自己抗体によって、神経から筋肉への信号伝達が障害される自己免疫疾患である。主な症状は、骨格筋の易疲労性（反復運動や時間の経過とともに筋力が低下し、休息により回復する）と筋力低下である。特に、眼瞼下垂や複視（物が二重に見える）といった眼症状が高頻度にみられ、初期症状となることも多い。また、嚥下障害、構音障害、四肢の筋力低下なども起こりうる。したがって、選択肢3の嚥下障害はMGで認められる症状である。（他の選択肢：突発性発熱、前向性健忘、振戦、構音障害はMGの典型的症状ではないか、嚥下障害の方がより代表的）
問61,病態,"[(1,)]",○,[1],喀血とは、気道（喉頭、気管、気管支、肺）からの出血が、咳とともに排出されることである。気管支拡張症は、気管支壁の破壊と不可逆的な拡張を特徴とする疾患であり、拡張した気管支壁には異常な血管新生が見られることがある。これらの血管は脆弱で破れやすく、喀血の原因となる。出血性腸炎、くも膜下出血、胃潰瘍、食道逆流症は、それぞれ消化管、脳、消化管、消化管の疾患であり、喀血ではなく、吐血、下血、脳出血などを引き起こす。したがって、選択肢1が正しい。
問62,病態,"[(3,)]",○,[3],痛風発作は、関節内に析出した尿酸ナトリウム結晶に対する急性の炎症反応であり、激しい痛みを伴う関節炎を引き起こす。痛風発作の治療の目的は、この急性の炎症と痛みを速やかに鎮静化することである。治療薬としては、非ステロイド性抗炎症薬(NSAIDs)、コルヒチン、副腎皮質ステロイドが用いられる。ナプロキセンはNSAIDsの一つであり、痛風発作の治療に適応がある。アロプリノールやフェブキソスタットなどの尿酸降下薬は、発作時には原則として新規に開始したり増量したりしない（炎症を増悪させる可能性があるため）。ラスブリカーゼは腫瘍崩壊症候群など、クエン酸カリウム・クエン酸ナトリウムは尿路結石予防などに用いる。ダパグリフロジンは糖尿病治療薬。したがって、選択肢3が正しい。
問63,病態,"[(1,)]",○,[1],慢性甲状腺炎（橋本病）は、甲状腺に対する自己免疫反応によって甲状腺組織が破壊され、甲状腺機能低下症を引き起こす代表的な自己免疫疾患である。診断においては、甲状腺腫大や甲状腺機能低下の所見に加え、自己抗体の検出が重要となる。橋本病に特異的な自己抗体として、抗甲状腺ペルオキシダーゼ(TPO)抗体と抗サイログロブリン抗体がある。これらの抗体が陽性であれば、橋本病の診断的価値が高い。抗TSH受容体抗体はバセドウ病、抗GAD抗体は1型糖尿病、抗アセチルコリン受容体抗体は重症筋無力症、抗CCP抗体は関節リウマチで陽性となることが多い。したがって、選択肢1が正しい。
問64,病態,"[(2,)]",○,[2],シクロスポリンは、カルシニューリン阻害薬であり、T細胞の活性化を抑制する免疫抑制薬である。その点眼液は、眼のアレルギー性疾患や炎症性疾患の治療に用いられる。特に、アトピー性角結膜炎や春季カタルといった、難治性のアレルギー性結膜疾患において、ステロイド抵抗性または依存性の症例に対して有効性が示されている。白内障、感染性角膜炎、加齢黄斑変性、緑内障は、シクロスポリン点眼液の主な適応疾患ではない。したがって、選択肢2が正しい。
